name,package,category,summary,binary_path,default_args
nmap,kali-tools-sample,Information Gathering,Network scanner used for host discovery and port auditing.,/usr/bin/nmap,
theHarvester,kali-tools-sample,Information Gathering,"Open source intelligence gathering tool for emails, subdomains, and names.",/usr/bin/theHarvester,
dnsenum,kali-tools-sample,Information Gathering,Performs DNS enumeration to discover hosts and records.,/usr/bin/dnsenum,
nikto,kali-tools-sample,Vulnerability Analysis,Web server scanner that tests for over 6700 potentially dangerous files and programs.,/usr/bin/nikto,
openvas,kali-tools-sample,Vulnerability Analysis,Full-featured vulnerability scanner with scheduled scan support.,/usr/bin/openvas,
sqlmap,kali-tools-sample,Vulnerability Analysis,Automates detection and exploitation of SQL injection flaws.,/usr/bin/sqlmap,
aircrack-ng,kali-tools-sample,Wireless Attacks,Suite for capturing and cracking Wi-Fi network keys.,/usr/bin/aircrack-ng,
reaver,kali-tools-sample,Wireless Attacks,Implements brute force attack against Wi-Fi Protected Setup.,/usr/bin/reaver,
cowpatty,kali-tools-sample,Wireless Attacks,Performs dictionary attacks against WPA-PSK networks.,/usr/bin/cowpatty,
metasploit-framework,kali-tools-sample,Exploitation,"Collection of exploit modules, payloads, and post-exploitation tools.",/usr/bin/metasploit-framework,
beef,kali-tools-sample,Exploitation,Browser exploitation framework focused on client-side attacks.,/usr/bin/beef,
searchsploit,kali-tools-sample,Exploitation,Command-line search utility for Exploit-DB advisories.,/usr/bin/searchsploit,
mimikatz,kali-tools-sample,Post Exploitation,Extracts credentials and performs post-exploitation tricks on Windows.,/usr/bin/mimikatz,
empire,kali-tools-sample,Post Exploitation,PowerShell and Python post-exploitation agent.,/usr/bin/empire,
crackmapexec,kali-tools-sample,Post Exploitation,Swiss army knife for pentesting Windows/Active Directory environments.,/usr/bin/crackmapexec,
